timestamp,algorithm,packet_loss_percent,base_delay_ms,jitter_ms,trial_number,success,handshake_time_ms,error_reason
2026-04-25T12:27:51.765404,ECC_TLS,0,50,0,1,1,591.967,
2026-04-25T12:27:52.465367,ECC_TLS,0,50,0,2,1,594.609,
2026-04-25T12:27:53.226316,ECC_TLS,0,50,0,3,1,623.656,
2026-04-25T12:27:53.941287,ECC_TLS,0,50,0,4,1,611.186,
2026-04-25T12:27:54.657886,ECC_TLS,0,50,0,5,1,611.795,
2026-04-25T12:27:55.365852,ECC_TLS,0,50,0,6,1,603.893,
2026-04-25T12:27:56.033019,ECC_TLS,0,50,0,7,1,564.767,
2026-04-25T12:27:56.661709,ECC_TLS,0,50,0,8,1,522.345,
2026-04-25T12:27:57.292249,ECC_TLS,0,50,0,9,1,526.495,
2026-04-25T12:27:57.999290,ECC_TLS,0,50,0,10,1,587.426,
2026-04-25T12:27:58.691285,ECC_TLS,0,50,0,11,1,587.827,
2026-04-25T12:27:59.382573,ECC_TLS,0,50,0,12,1,575.595,
2026-04-25T12:28:00.212589,ECC_TLS,0,50,0,13,1,727.101,
2026-04-25T12:28:00.914492,ECC_TLS,0,50,0,14,1,597.716,
2026-04-25T12:28:01.610964,ECC_TLS,0,50,0,15,1,592.767,
2026-04-25T12:28:02.333813,ECC_TLS,0,50,0,16,1,609.943,
2026-04-25T12:28:03.028804,ECC_TLS,0,50,0,17,1,583.492,
2026-04-25T12:28:03.741344,ECC_TLS,0,50,0,18,1,608.881,
2026-04-25T12:28:04.431528,ECC_TLS,0,50,0,19,1,586.394,
2026-04-25T12:28:05.215175,ECC_TLS,0,50,0,20,1,679.548,
2026-04-25T12:28:06.003343,ECC_TLS,0,50,0,21,1,676.901,
2026-04-25T12:28:06.755464,ECC_TLS,0,50,0,22,1,619.573,
2026-04-25T12:28:07.404395,ECC_TLS,0,50,0,23,1,544.521,
2026-04-25T12:28:08.040686,ECC_TLS,0,50,0,24,1,530.497,
2026-04-25T12:28:08.675544,ECC_TLS,0,50,0,25,1,527.257,
2026-04-25T12:28:09.315864,ECC_TLS,0,50,0,26,1,537.008,
2026-04-25T12:28:09.956434,ECC_TLS,0,50,0,27,1,535.53,
2026-04-25T12:28:10.589378,ECC_TLS,0,50,0,28,1,529.481,
2026-04-25T12:28:11.262997,ECC_TLS,0,50,0,29,1,565.029,
2026-04-25T12:28:11.977561,ECC_TLS,0,50,0,30,1,610.134,
2026-04-25T12:28:12.969014,ECC_TLS,0,50,20,1,1,543.866,
2026-04-25T12:28:13.563170,ECC_TLS,0,50,20,2,1,481.851,
2026-04-25T12:28:14.209849,ECC_TLS,0,50,20,3,1,542.773,
2026-04-25T12:28:14.854998,ECC_TLS,0,50,20,4,1,540.995,
2026-04-25T12:28:15.589558,ECC_TLS,0,50,20,5,1,631.514,
2026-04-25T12:28:16.220459,ECC_TLS,0,50,20,6,1,525.228,
2026-04-25T12:28:16.859319,ECC_TLS,0,50,20,7,1,512.045,
2026-04-25T12:28:17.570711,ECC_TLS,0,50,20,8,1,605.506,
2026-04-25T12:28:18.214704,ECC_TLS,0,50,20,9,1,538.682,
2026-04-25T12:28:18.817501,ECC_TLS,0,50,20,10,1,499.672,
2026-04-25T12:28:19.445905,ECC_TLS,0,50,20,11,1,524.781,
2026-04-25T12:28:20.892649,ECC_TLS,0,50,20,12,1,1335.689,
2026-04-25T12:28:21.913587,ECC_TLS,0,50,20,13,1,917.057,
2026-04-25T12:28:22.586808,ECC_TLS,0,50,20,14,1,560.085,
2026-04-25T12:28:23.149648,ECC_TLS,0,50,20,15,1,458.837,
2026-04-25T12:28:23.796629,ECC_TLS,0,50,20,16,1,536.189,
2026-04-25T12:28:24.497936,ECC_TLS,0,50,20,17,1,596.146,
2026-04-25T12:28:25.424286,ECC_TLS,0,50,20,18,1,813.014,
2026-04-25T12:28:26.051884,ECC_TLS,0,50,20,19,1,522.472,
2026-04-25T12:28:26.758484,ECC_TLS,0,50,20,20,1,567.93,
2026-04-25T12:28:27.746048,ECC_TLS,0,50,20,21,1,881.239,
2026-04-25T12:28:28.539437,ECC_TLS,0,50,20,22,1,686.185,
2026-04-25T12:28:29.515411,ECC_TLS,0,50,20,23,1,867.74,
2026-04-25T12:28:30.438945,ECC_TLS,0,50,20,24,1,818.007,
2026-04-25T12:28:31.420312,ECC_TLS,0,50,20,25,1,875.097,
2026-04-25T12:28:32.195942,ECC_TLS,0,50,20,26,1,671.144,
2026-04-25T12:28:33.090556,ECC_TLS,0,50,20,27,1,765.18,
2026-04-25T12:28:34.123921,ECC_TLS,0,50,20,28,1,916.118,
2026-04-25T12:28:35.033070,ECC_TLS,0,50,20,29,1,795.83,
2026-04-25T12:28:35.750347,ECC_TLS,0,50,20,30,1,611.902,
2026-04-25T12:28:37.040112,ECC_TLS,0,50,50,1,1,829.094,
2026-04-25T12:28:37.716390,ECC_TLS,0,50,50,2,1,567.564,
2026-04-25T12:28:38.661816,ECC_TLS,0,50,50,3,1,840.949,
2026-04-25T12:28:39.487555,ECC_TLS,0,50,50,4,1,721.056,
2026-04-25T12:28:40.147893,ECC_TLS,0,50,50,5,1,546.813,
2026-04-25T12:28:41.026575,ECC_TLS,0,50,50,6,1,772.957,
2026-04-25T12:28:42.106732,ECC_TLS,0,50,50,7,1,973.594,
2026-04-25T12:28:42.720228,ECC_TLS,0,50,50,8,1,507.962,
2026-04-25T12:28:43.546070,ECC_TLS,0,50,50,9,1,717.76,
2026-04-25T12:28:44.221254,ECC_TLS,0,50,50,10,1,569.373,
2026-04-25T12:28:44.953549,ECC_TLS,0,50,50,11,1,627.665,
2026-04-25T12:28:45.580706,ECC_TLS,0,50,50,12,1,520.751,
2026-04-25T12:28:46.319610,ECC_TLS,0,50,50,13,1,617.095,
2026-04-25T12:28:47.198973,ECC_TLS,0,50,50,14,1,772.794,
2026-04-25T12:28:47.998605,ECC_TLS,0,50,50,15,1,690.947,
2026-04-25T12:28:48.888651,ECC_TLS,0,50,50,16,1,776.651,
2026-04-25T12:28:49.550277,ECC_TLS,0,50,50,17,1,551.837,
2026-04-25T12:28:50.502007,ECC_TLS,0,50,50,18,1,821.653,
2026-04-25T12:28:51.106591,ECC_TLS,0,50,50,19,1,494.936,
2026-04-25T12:28:51.924386,ECC_TLS,0,50,50,20,1,647.94,
2026-04-25T12:28:52.725195,ECC_TLS,0,50,50,21,1,693.515,
2026-04-25T12:28:53.791323,ECC_TLS,0,50,50,22,1,955.481,
2026-04-25T12:28:54.395450,ECC_TLS,0,50,50,23,1,499.307,
2026-04-25T12:28:55.223092,ECC_TLS,0,50,50,24,1,721.94,
2026-04-25T12:28:55.857882,ECC_TLS,0,50,50,25,1,525.11,
2026-04-25T12:28:56.677016,ECC_TLS,0,50,50,26,1,712.998,
